paleo-spectral-ordering-pearson-bfp,square-filter,93.41,95.89,95.7,95.45,95.7,deleted-band,99.82,99.46,98.61,96.55,diletation-erosion,89.38,96.07,91.94,erosion-diletation,94.52,94.17,98.95,diletation-erosion-erosion-diletation,81.76,94.59,93.01,erosion-diletation-diletation-erosion,85.61,94.72,91.35
paleo-barycenter-bfp,square-filter,93.63,96.1,96.07,95.69,96.07,deleted-band,100.0,99.99,99.66,97.43,diletation-erosion,94.55,94.08,98.85,erosion-diletation,89.25,96.03,92.89,diletation-erosion-erosion-diletation,82.01,94.48,94.14,erosion-diletation-diletation-erosion,85.66,94.68,92.34
paleo-alternating,square-filter,93.93,96.25,96.22,95.93,96.22,deleted-band,99.9,99.74,99.36,97.39,diletation-erosion,94.83,94.43,98.96,erosion-diletation,89.92,96.13,93.12,diletation-erosion-erosion-diletation,83.26,94.65,94.07,erosion-diletation-diletation-erosion,86.54,94.75,92.6
paleo-barycenter,square-filter,92.9,95.31,95.41,95.11,95.41,deleted-band,100.0,100.0,99.93,98.18,diletation-erosion,92.2,95.33,88.03,erosion-diletation,98.31,93.0,93.87,diletation-erosion-erosion-diletation,93.8,93.86,82.7,erosion-diletation-diletation-erosion,91.36,94.11,85.02
paleo-barycenter-bfp-alternating,square-filter,93.78,96.16,96.06,95.76,96.06,deleted-band,99.96,99.87,99.48,97.28,diletation-erosion,92.81,96.06,89.53,erosion-diletation,98.94,94.2,94.58,diletation-erosion-erosion-diletation,93.82,94.54,82.35,erosion-diletation-diletation-erosion,92.3,94.71,85.92
zoo-spectral-ordering-pearson-bfp,square-filter,68.21,87.2,80.66,81.61,80.66,deleted-band,99.65,96.75,91.02,80.87,diletation-erosion,85.64,91.97,68.56,erosion-diletation,91.8,91.02,86.49,diletation-erosion-erosion-diletation,77.19,88.19,74.54,erosion-diletation-diletation-erosion,81.22,87.8,62.55
zoo-barycenter-bfp,square-filter,79.46,90.7,89.14,90.31,89.14,deleted-band,99.93,99.33,96.04,84.55,diletation-erosion,94.38,93.88,90.52,erosion-diletation,90.31,94.06,84.34,diletation-erosion-erosion-diletation,83.52,90.56,85.61,erosion-diletation-diletation-erosion,86.63,90.74,79.24
zoo-alternating,square-filter,80.2,91.27,89.29,90.38,89.29,deleted-band,99.82,98.41,92.89,83.77,diletation-erosion,93.85,93.49,89.67,erosion-diletation,89.25,94.02,85.33,diletation-erosion-erosion-diletation,81.47,91.27,86.78,erosion-diletation-diletation-erosion,85.01,90.91,81.19
zoo-barycenter,square-filter,78.64,88.83,87.91,88.26,87.91,deleted-band,100.0,99.82,95.83,84.87,diletation-erosion,83.38,91.34,86.6,erosion-diletation,89.14,91.09,92.47,diletation-erosion-erosion-diletation,85.08,87.23,79.28,erosion-diletation-diletation-erosion,79.6,87.31,82.71
zoo-barycenter-bfp-alternating,square-filter,76.27,89.99,86.63,88.44,86.63,deleted-band,100.0,98.62,91.51,79.56,diletation-erosion,78.04,93.67,88.4,erosion-diletation,91.55,93.07,93.95,diletation-erosion-erosion-diletation,83.73,89.92,79.6,erosion-diletation-diletation-erosion,74.05,89.96,83.73
