paleo-spectral-ordering-pearson-bfp,square-filter,0.93,0.96,0.96,0.95,0.96,deleted-band,1.0,0.99,0.99,0.97,diletation-erosion,0.89,0.96,0.92,erosion-diletation,0.95,0.94,0.99,diletation-erosion-erosion-diletation,0.82,0.95,0.93,erosion-diletation-diletation-erosion,0.86,0.95,0.91
paleo-barycenter-bfp,square-filter,0.94,0.96,0.96,0.96,0.96,deleted-band,1.0,1.0,1.0,0.97,diletation-erosion,0.95,0.94,0.99,erosion-diletation,0.89,0.96,0.93,diletation-erosion-erosion-diletation,0.82,0.94,0.94,erosion-diletation-diletation-erosion,0.86,0.95,0.92
paleo-alternating,square-filter,0.94,0.96,0.96,0.96,0.96,deleted-band,1.0,1.0,0.99,0.97,diletation-erosion,0.95,0.94,0.99,erosion-diletation,0.9,0.96,0.93,diletation-erosion-erosion-diletation,0.83,0.95,0.94,erosion-diletation-diletation-erosion,0.87,0.95,0.93
paleo-barycenter,square-filter,0.93,0.95,0.95,0.95,0.95,deleted-band,1.0,1.0,1.0,0.98,diletation-erosion,0.92,0.95,0.88,erosion-diletation,0.98,0.93,0.94,diletation-erosion-erosion-diletation,0.94,0.94,0.83,erosion-diletation-diletation-erosion,0.91,0.94,0.85
paleo-barycenter-bfp-alternating,square-filter,0.94,0.96,0.96,0.96,0.96,deleted-band,1.0,1.0,0.99,0.97,diletation-erosion,0.93,0.96,0.9,erosion-diletation,0.99,0.94,0.95,diletation-erosion-erosion-diletation,0.94,0.95,0.82,erosion-diletation-diletation-erosion,0.92,0.95,0.86
zoo-spectral-ordering-pearson-bfp,square-filter,0.68,0.87,0.81,0.82,0.81,deleted-band,1.0,0.97,0.91,0.81,diletation-erosion,0.86,0.92,0.69,erosion-diletation,0.92,0.91,0.86,diletation-erosion-erosion-diletation,0.77,0.88,0.75,erosion-diletation-diletation-erosion,0.81,0.88,0.63
zoo-barycenter-bfp,square-filter,0.79,0.91,0.89,0.9,0.89,deleted-band,1.0,0.99,0.96,0.85,diletation-erosion,0.94,0.94,0.91,erosion-diletation,0.9,0.94,0.84,diletation-erosion-erosion-diletation,0.84,0.91,0.86,erosion-diletation-diletation-erosion,0.87,0.91,0.79
zoo-alternating,square-filter,0.8,0.91,0.89,0.9,0.89,deleted-band,1.0,0.98,0.93,0.84,diletation-erosion,0.94,0.93,0.9,erosion-diletation,0.89,0.94,0.85,diletation-erosion-erosion-diletation,0.81,0.91,0.87,erosion-diletation-diletation-erosion,0.85,0.91,0.81
zoo-barycenter,square-filter,0.79,0.89,0.88,0.88,0.88,deleted-band,1.0,1.0,0.96,0.85,diletation-erosion,0.83,0.91,0.87,erosion-diletation,0.89,0.91,0.92,diletation-erosion-erosion-diletation,0.85,0.87,0.79,erosion-diletation-diletation-erosion,0.8,0.87,0.83
zoo-barycenter-bfp-alternating,square-filter,0.76,0.9,0.87,0.88,0.87,deleted-band,1.0,0.99,0.92,0.8,diletation-erosion,0.78,0.94,0.88,erosion-diletation,0.92,0.93,0.94,diletation-erosion-erosion-diletation,0.84,0.9,0.8,erosion-diletation-diletation-erosion,0.74,0.9,0.84
healthcare-spectral-ordering-pearson-bfp,square-filter,0.91,0.95,0.93,0.95,0.93,deleted-band,0.96,0.86,0.67,0.44,diletation-erosion,0.89,0.91,0.95,erosion-diletation,0.93,0.92,0.95,diletation-erosion-erosion-diletation,0.82,0.88,0.93,erosion-diletation-diletation-erosion,0.85,0.88,0.92
healthcare-barycenter-bfp,square-filter,0.96,0.97,0.97,0.97,0.97,deleted-band,0.97,0.9,0.77,0.53,diletation-erosion,0.94,0.94,0.95,erosion-diletation,0.93,0.94,0.96,diletation-erosion-erosion-diletation,0.83,0.91,0.92,erosion-diletation-diletation-erosion,0.88,0.91,0.91
